timestamp,length,direction,src_ip,dst_ip,relative_time
1760125364.4215863,602,outgoing,192.168.202.136,64.65.63.15,259.8623070716858
1760125364.4423707,66,incoming,64.65.63.15,192.168.202.136,259.88309144973755
1760125364.589791,602,incoming,185.220.101.106,192.168.202.136,260.0305118560791
1760125364.5899417,66,outgoing,192.168.202.136,185.220.101.106,260.0306625366211
1760125364.5912297,602,outgoing,192.168.202.136,185.220.101.106,260.0319504737854
1760125364.6127276,66,incoming,185.220.101.106,192.168.202.136,260.0534484386444
1760125364.9285197,602,incoming,185.220.101.106,192.168.202.136,260.36924052238464
1760125364.9292383,602,outgoing,192.168.202.136,185.220.101.106,260.36995911598206
1760125364.9483893,66,incoming,185.220.101.106,192.168.202.136,260.3891100883484
1760125365.2525444,602,incoming,185.220.101.106,192.168.202.136,260.69326519966125
1760125365.2943964,66,outgoing,192.168.202.136,185.220.101.106,260.73511719703674
1760125369.3254488,602,outgoing,192.168.202.136,64.65.63.15,264.76616954803467
1760125369.3433974,66,incoming,64.65.63.15,192.168.202.136,264.7841181755066
1760125370.172999,602,incoming,185.220.101.106,192.168.202.136,265.61371970176697
1760125370.173198,66,outgoing,192.168.202.136,185.220.101.106,265.6139187812805
1760125372.6268737,602,incoming,185.220.101.106,192.168.202.136,268.06759452819824
1760125372.6270127,66,outgoing,192.168.202.136,185.220.101.106,268.06773352622986
1760125374.2346768,602,incoming,64.65.63.15,192.168.202.136,269.6753976345062
1760125374.2785888,66,outgoing,192.168.202.136,64.65.63.15,269.71930956840515
1760125375.3499205,602,outgoing,192.168.202.136,64.65.63.15,270.7906413078308
1760125375.3684187,66,incoming,64.65.63.15,192.168.202.136,270.80913949012756
1760125375.4468052,602,incoming,185.220.101.106,192.168.202.136,270.88752603530884
1760125375.4469926,66,outgoing,192.168.202.136,185.220.101.106,270.887713432312
1760125375.633756,602,incoming,64.65.63.15,192.168.202.136,271.0744767189026
1760125375.633906,66,outgoing,192.168.202.136,64.65.63.15,271.07462668418884
1760125375.6352787,602,outgoing,192.168.202.136,64.65.63.15,271.0759994983673
1760125375.652906,66,incoming,64.65.63.15,192.168.202.136,271.0936267375946
1760125376.0118399,602,incoming,64.65.63.15,192.168.202.136,271.45256066322327
1760125376.0132818,602,outgoing,192.168.202.136,64.65.63.15,271.4540026187897
1760125376.0334697,66,incoming,64.65.63.15,192.168.202.136,271.4741904735565
1760125376.3969228,602,incoming,64.65.63.15,192.168.202.136,271.83764362335205
1760125376.4385047,66,outgoing,192.168.202.136,64.65.63.15,271.8792254924774
1760125378.3613942,1116,outgoing,192.168.202.136,64.65.63.15,273.8021149635315
1760125378.3615131,1116,outgoing,192.168.202.136,185.220.101.106,273.80223393440247
1760125378.3799374,66,incoming,64.65.63.15,192.168.202.136,273.8206582069397
1760125378.380446,66,incoming,185.220.101.106,192.168.202.136,273.8211667537689
1760125378.63514,602,incoming,185.220.101.106,192.168.202.136,274.0758607387543
1760125378.6353276,66,outgoing,192.168.202.136,185.220.101.106,274.076048374176
1760125378.6364326,602,outgoing,192.168.202.136,185.220.101.106,274.07715344429016
1760125378.6526518,602,incoming,64.65.63.15,192.168.202.136,274.0933725833893
1760125378.6528337,66,outgoing,192.168.202.136,64.65.63.15,274.09355449676514
1760125378.6535175,66,incoming,185.220.101.106,192.168.202.136,274.09423828125
1760125378.6539714,602,outgoing,192.168.202.136,64.65.63.15,274.0946922302246
1760125378.6772528,66,incoming,64.65.63.15,192.168.202.136,274.1179735660553
1760125378.9416468,602,incoming,185.220.101.106,192.168.202.136,274.3823676109314
1760125378.9433625,602,outgoing,192.168.202.136,185.220.101.106,274.3840832710266
1760125378.965548,66,incoming,185.220.101.106,192.168.202.136,274.40626883506775
1760125378.9709983,602,incoming,64.65.63.15,192.168.202.136,274.411719083786
1760125378.9719357,602,outgoing,192.168.202.136,64.65.63.15,274.41265654563904
1760125378.996765,66,incoming,64.65.63.15,192.168.202.136,274.43748569488525
1760125379.2998226,602,incoming,185.220.101.106,192.168.202.136,274.7405433654785
1760125379.3007994,602,outgoing,192.168.202.136,185.220.101.106,274.7415201663971
1760125379.3110135,602,incoming,64.65.63.15,192.168.202.136,274.7517342567444
1760125379.3120296,602,outgoing,192.168.202.136,64.65.63.15,274.7527503967285
1760125379.318954,66,incoming,185.220.101.106,192.168.202.136,274.75967478752136
1760125379.3336554,66,incoming,64.65.63.15,192.168.202.136,274.7743761539459
1760125379.6375856,602,incoming,64.65.63.15,192.168.202.136,275.0783064365387
1760125379.638458,602,outgoing,192.168.202.136,64.65.63.15,275.07917881011963
1760125379.6497543,602,incoming,185.220.101.106,192.168.202.136,275.09047508239746
1760125379.6504955,602,outgoing,192.168.202.136,185.220.101.106,275.0912163257599
1760125379.6579475,66,incoming,64.65.63.15,192.168.202.136,275.0986683368683
1760125379.6721761,66,incoming,185.220.101.106,192.168.202.136,275.1128969192505
1760125383.8952928,602,incoming,64.65.63.15,192.168.202.136,279.33601355552673
1760125383.9385643,66,outgoing,192.168.202.136,64.65.63.15,279.3792850971222
1760125384.5660183,1116,incoming,64.65.63.15,192.168.202.136,280.0067391395569
1760125384.566191,66,outgoing,192.168.202.136,64.65.63.15,280.00691175460815
1760125384.57015,602,outgoing,192.168.202.136,64.65.63.15,280.01087069511414
1760125384.5943537,66,incoming,64.65.63.15,192.168.202.136,280.03507447242737
1760125386.6541228,602,incoming,185.220.101.106,192.168.202.136,282.09484362602234
1760125386.6946197,66,outgoing,192.168.202.136,185.220.101.106,282.1353404521942
1760125389.9141476,602,incoming,64.65.63.15,192.168.202.136,285.3548684120178
1760125389.9545345,66,outgoing,192.168.202.136,64.65.63.15,285.39525532722473
1760125390.7907598,602,outgoing,192.168.202.136,185.220.101.106,286.2314805984497
1760125390.8125606,66,incoming,185.220.101.106,192.168.202.136,286.2532813549042
1760125392.5474465,602,outgoing,192.168.202.136,64.65.63.15,287.9881672859192
1760125392.5719674,66,incoming,64.65.63.15,192.168.202.136,288.0126881599426
1760125396.9887345,602,incoming,185.220.101.106,192.168.202.136,292.42945528030396
1760125396.9888961,66,outgoing,192.168.202.136,185.220.101.106,292.4296169281006
1760125399.2474856,602,outgoing,192.168.202.136,64.65.63.15,294.6882064342499
1760125399.2674642,66,incoming,64.65.63.15,192.168.202.136,294.7081849575043
1760125403.4629283,602,incoming,64.65.63.15,192.168.202.136,298.9036490917206
1760125403.4630842,66,outgoing,192.168.202.136,64.65.63.15,298.9038050174713
1760125403.5441902,602,outgoing,192.168.202.136,185.220.101.106,298.9849109649658
1760125403.5638168,66,incoming,185.220.101.106,192.168.202.136,299.00453758239746
1760125405.5390947,602,incoming,185.220.101.106,192.168.202.136,300.97981548309326
1760125405.5392406,66,outgoing,192.168.202.136,185.220.101.106,300.9799613952637
1760125409.4949915,602,outgoing,192.168.202.136,64.65.63.15,304.9357123374939
1760125409.5141358,66,incoming,64.65.63.15,192.168.202.136,304.95485663414
1760125413.4599571,1116,outgoing,192.168.202.136,64.65.63.15,308.9006779193878
1760125413.4782317,66,incoming,64.65.63.15,192.168.202.136,308.9189524650574
1760125413.5260758,602,incoming,185.220.101.106,192.168.202.136,308.9667966365814
1760125413.5262375,66,outgoing,192.168.202.136,185.220.101.106,308.96695828437805
1760125413.7461736,602,incoming,64.65.63.15,192.168.202.136,309.1868944168091
1760125413.7463856,66,outgoing,192.168.202.136,64.65.63.15,309.1871063709259
1760125413.7473557,602,outgoing,192.168.202.136,64.65.63.15,309.18807649612427
1760125413.766641,66,incoming,64.65.63.15,192.168.202.136,309.20736169815063
1760125414.1041474,602,incoming,64.65.63.15,192.168.202.136,309.5448682308197
1760125414.105566,602,outgoing,192.168.202.136,64.65.63.15,309.54628682136536
1760125414.1240408,66,incoming,64.65.63.15,192.168.202.136,309.56476163864136
1760125414.476652,602,incoming,64.65.63.15,192.168.202.136,309.91737270355225
1760125414.5185306,66,outgoing,192.168.202.136,64.65.63.15,309.9592514038086
1760125416.8869085,602,incoming,64.65.63.15,192.168.202.136,312.32762932777405
1760125416.8870745,66,outgoing,192.168.202.136,64.65.63.15,312.3277952671051
1760125420.655874,602,outgoing,192.168.202.136,185.220.101.106,316.09659481048584
1760125420.6745703,66,incoming,185.220.101.106,192.168.202.136,316.1152911186218
1760125423.2333453,602,incoming,185.220.101.106,192.168.202.136,318.67406606674194
1760125423.2334528,66,outgoing,192.168.202.136,185.220.101.106,318.6741735935211
1760125423.3577726,602,incoming,64.65.63.15,192.168.202.136,318.79849338531494
1760125423.3579059,66,outgoing,192.168.202.136,64.65.63.15,318.79862666130066
1760125428.9072115,602,outgoing,192.168.202.136,185.220.101.106,324.3479323387146
1760125428.9268734,66,incoming,185.220.101.106,192.168.202.136,324.36759424209595
1760125429.8668466,602,incoming,64.65.63.15,192.168.202.136,325.30756735801697
1760125429.8670058,66,outgoing,192.168.202.136,64.65.63.15,325.3077266216278
1760125434.6780121,602,outgoing,192.168.202.136,185.220.101.106,330.11873292922974
1760125434.695586,66,incoming,185.220.101.106,192.168.202.136,330.1363067626953
1760125437.8241024,602,outgoing,192.168.202.136,64.65.63.15,333.2648231983185
1760125437.8436146,66,incoming,64.65.63.15,192.168.202.136,333.28433537483215
1760125440.3676515,602,outgoing,192.168.202.136,185.220.101.106,335.80837225914
1760125440.3851366,66,incoming,185.220.101.106,192.168.202.136,335.82585740089417
1760125440.411198,602,incoming,185.220.101.106,192.168.202.136,335.8519186973572
1760125440.4113448,66,outgoing,192.168.202.136,185.220.101.106,335.8520655632019
